,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,4
1,0.249,0.949,2,-2.642,0,0.0678,0.00131,0.0228,0.0953,0.498,185.252,4
2,0.668,0.787,1,-4.226,1,0.0429,0.109,0.0,0.21,0.478,100.059,4
4,0.657,0.96,5,-3.524,0,0.07,0.00169,0.000997,0.109,0.567,126.02,4
5,0.431,0.962,6,-3.269,1,0.0789,8.34e-06,5.04e-06,0.321,0.585,156.103,4
6,0.811,0.566,8,-6.033,0,0.517,0.563,0.0,0.104,0.169,100.224,4
9,0.479,0.913,0,-5.335,1,0.0625,0.00114,0.000107,0.226,0.413,93.213,4
10,0.147,0.958,1,-13.427,1,0.107,0.0957,0.972,0.893,0.0368,137.829,4
15,0.284,0.99,2,-2.981,1,0.128,5.63e-05,0.00206,0.135,0.166,122.95,3
17,0.914,0.607,7,-5.658,1,0.32,0.0626,0.0,0.0515,0.666,98.054,4
20,0.432,0.659,10,-5.389,1,0.0505,0.386,0.0,0.289,0.799,78.989,4
22,0.333,0.712,2,-15.726,1,0.103,0.305,0.95,0.359,0.0279,112.776,4
23,0.553,0.963,11,-5.286,1,0.117,3.27e-05,0.0108,0.0357,0.523,95.015,4
24,0.261,0.908,1,-13.069,1,0.082,0.17,0.901,0.498,0.276,119.51,4
26,0.378,0.967,5,-4.67,0,0.0683,0.00152,0.0,0.116,0.552,100.439,4
27,0.417,0.976,2,-4.696,0,0.0665,0.000351,0.000117,0.074,0.463,186.081,4
28,0.495,0.989,6,-4.93,1,0.0531,7.08e-06,0.864,0.148,0.438,130.037,3
29,0.437,0.973,8,-7.42,1,0.0696,0.00103,0.0011,0.027,0.265,102.433,4
31,0.407,0.98,7,-1.58,1,0.107,0.00174,0.000112,0.119,0.537,131.066,4
32,0.503,0.895,7,-6.228,1,0.0436,2.37e-05,0.0354,0.319,0.211,93.953,4
33,0.565,0.968,1,-5.165,1,0.0568,1.33e-05,0.188,0.089,0.693,108.003,4
36,0.582,0.543,0,-9.081,0,0.495,0.764,3.72e-06,0.349,0.56,196.18,4
41,0.608,0.967,4,-3.936,1,0.164,0.00144,0.00104,0.387,0.81,117.269,4
42,0.171,0.949,2,-15.105,1,0.201,0.000105,0.562,0.532,0.055,106.971,3
43,0.814,0.877,1,-7.134,0,0.153,0.0866,7.62e-05,0.277,0.579,111.179,4
45,0.389,0.969,7,-3.281,1,0.256,0.000278,7.92e-05,0.485,0.291,84.016,4
49,0.23,0.965,3,-5.016,1,0.127,0.000119,0.00791,0.386,0.254,97.817,4
50,0.633,0.795,2,-5.132,1,0.0956,0.00961,0.0,0.28,0.333,146.804,4
51,0.131,0.852,2,-7.635,1,0.0646,2.67e-05,0.908,0.352,0.252,144.461,4
53,0.683,0.756,2,-7.496,1,0.0439,5.15e-05,0.42,0.722,0.646,129.926,4
54,0.617,0.688,7,-10.82,1,0.13,0.0122,0.0173,0.0629,0.269,86.769,4
56,0.298,0.926,1,-7.177,1,0.103,0.000559,0.235,0.127,0.119,146.779,4
57,0.318,0.879,1,-9.102,1,0.0766,0.000131,0.272,0.0756,0.309,95.456,4
58,0.307,0.91,7,-5.446,1,0.261,0.000495,1.02e-05,0.119,0.828,172.16,4
59,0.0771,0.985,10,-4.026,1,0.095,5.28e-06,0.0508,0.273,0.0736,173.289,4
60,0.32,0.912,1,-3.123,1,0.0407,0.000242,0.000226,0.177,0.566,153.885,4
61,0.553,0.864,4,-4.584,1,0.144,0.000158,6.88e-05,0.961,0.189,121.007,4
63,0.554,0.752,9,-5.346,0,0.0379,0.0112,1.01e-05,0.118,0.303,118.994,4
64,0.213,0.996,9,-3.276,1,0.101,7.12e-05,0.00182,0.591,0.0409,152.142,4
65,0.356,0.944,1,-2.706,1,0.0897,0.0124,4.77e-05,0.316,0.46,76.552,4
66,0.551,0.915,1,-5.178,1,0.0688,0.011,0.0011,0.187,0.573,170.303,4
67,0.572,0.929,5,-4.824,1,0.0931,0.000437,0.000976,0.197,0.18,138.05,4
68,0.526,0.935,8,-3.645,1,0.0545,1.5e-05,0.00442,0.177,0.805,95.01,4
69,0.559,0.932,1,-5.224,0,0.141,0.000768,7.54e-05,0.148,0.318,132.471,4
70,0.606,0.9,6,-5.168,1,0.0547,0.000508,0.901,0.112,0.115,140.035,4
72,0.368,0.981,3,-3.052,1,0.123,0.0104,0.00317,0.262,0.281,142.479,4
74,0.532,0.953,8,-5.667,1,0.0394,0.000104,0.00765,0.119,0.485,142.016,4
77,0.206,0.982,6,-3.651,0,0.29,0.000472,0.000886,0.313,0.119,155.361,4
78,0.469,0.994,6,-3.702,1,0.193,7.44e-05,0.591,0.15,0.232,110.382,4
79,0.494,0.969,11,-3.695,1,0.144,1.54e-05,0.00255,0.363,0.476,126.013,4
80,0.49,0.82,1,-11.444,1,0.216,0.677,0.0484,0.0956,0.71,99.476,4
81,0.438,0.989,10,-2.354,0,0.0959,4.94e-06,0.00198,0.941,0.332,174.012,4
82,0.478,0.563,9,-9.216,0,0.0297,0.000109,0.668,0.0693,0.193,147.356,4
83,0.512,0.852,7,-8.341,1,0.0887,0.00142,0.642,0.066,0.197,165.005,4
84,0.487,0.821,4,-5.098,0,0.0445,0.0247,0.00245,0.0625,0.316,116.36,4
